IndexId,Channel1,Channel2,Channel3,Channel4,Ref1,Ref2,Ref3
0,933.19,519.23,21.71,238.45,0,0,0
1,932.94,516.98,22.7,251.8,0,0,0
2,827.7,521.87,17.26,207.42,0,0,0
3,893.26,519.82,18.9,219.49,0,0,0
4,953.94,520.69,21.88,252.06,0,0,0
5,848.79,519.2,18.79,224.68,0,0,0
6,845.51,516.32,24.37,207.32,0,0,0
7,951.85,522.06,22.15,251.08,0,0,0
8,894.98,525.64,21.9,241.74,0,0,0
9,829.14,527.04,21.96,203.21,0,0,0
10,934.18,521.18,23.97,243.27,0,0,0
11,937.55,524.96,24.46,254.96,0,0,0
12,829.94,529.95,23.29,217.36,0,0,0
13,888.42,527.03,23.46,223.79,0,0,0
14,951.6,525.86,25.49,261.06,0,0,0
15,852.31,526.21,22.59,224.61,0,0,0
16,850.25,521.51,22.94,210.06,0,0,0
17,952.06,524.09,27.23,254.64,0,0,0
18,891.6,522.13,22.33,245.76,0,0,0
19,826.04,523.4,22.05,203.5,0,0,0
20,929.79,521.89,25.34,246.09,0,0,0
21,935.84,527.64,23.4,258.25,0,0,0
22,829.01,526.01,19.31,217.17,0,0,0
23,894.39,526.11,23.11,228.25,0,0,0
24,957.88,530.47,24.39,270.44,0,0,0
25,849.94,531.73,23.11,235.1,0,0,0
26,846.42,526.38,18.83,213.81,0,0,0
27,948.95,525.04,24.72,261.56,0,0,0
28,887.82,523.03,22.6,248.94,0,0,0
29,818.81,528.41,22.73,203.38,0,0,0
30,931.68,523.93,25.55,242.94,0,0,0
31,924.63,524,23.74,255.26,0,0,0
32,821.42,525.56,21.98,209.66,0,0,0
33,889.28,525.16,21.91,223.92,0,0,0
34,948.35,520.51,24.84,254.89,0,0,0
35,848.08,518.91,18.57,225.74,0,0,0
36,846.09,522.79,22.45,209.43,0,0,0
37,949.87,523.01,25.9,254.55,0,0,0
38,887.49,526.9,23.29,244.79,0,0,0
39,820.08,525.76,22.9,204.32,0,0,0
40,927.68,524.31,24.05,240.28,0,0,0
41,928.11,527.52,23.32,259.29,0,0,0
42,823.42,528.3,21.42,211.98,0,0,0
43,888.77,529.24,25.13,224.68,0,0,0
44,953.29,532.42,24.46,266.04,0,0,0
45,849.5,528.74,23.85,229.97,0,0,0
46,851.69,529.87,22.79,207.3,0,0,0
47,955.29,530.54,27.44,258.43,0,0,0
48,894.12,525.22,21.62,249.03,0,0,0
49,823.15,529.71,21.61,206.95,0,0,0
50,933.24,530.68,23.47,244.81,0,0,0
51,932.33,531.47,22.98,259.8,0,0,0
52,824.94,532.24,21.55,220,0,0,0
53,898.45,535.24,24.29,236.37,0,0,0
54,957.79,534.14,25.54,270.85,0,0,0
55,850.83,533.43,22.93,236.11,0,0,0
56,853.07,529.47,20.65,217.54,0,0,0
57,952.73,527.54,23.38,255.34,0,0,0
58,889.47,524.64,22.45,242.3,0,0,0
59,818.28,523.26,22.02,200.49,0,0,0
60,928.76,523.3,27.33,241.47,0,0,0
61,933.04,526.95,25.06,251.98,0,0,0
62,823.03,523.5,21.76,211.67,0,0,0
63,892.63,520.15,23.9,225.72,0,0,0
64,951.5,519.86,22.63,260.36,0,0,0
65,847.98,520.33,22.46,227.76,0,0,0
66,852.42,522.2,24.75,205.24,0,0,0
67,955.66,521.17,25.44,255.26,0,0,0
68,897.6,522.96,21.8,250.34,0,0,0
69,830.24,524.49,20.74,208.73,0,0,0
70,937.18,523.1,21.86,244.4,0,0,0
71,938.55,526,24.34,258.73,0,0,0
72,832.21,526.48,21.67,206.63,0,0,0
73,894.64,516.89,21.07,216.21,0,0,0
74,954.46,514.2,24.59,252.56,0,0,0
75,854.04,519.98,24.23,218.54,0,0,0
76,853.52,520.15,18.51,202.26,0,0,0
77,956.4,521.87,24.44,252.87,0,0,0
78,891.9,518.55,25.97,242.07,0,0,0
79,822.75,521.09,21.58,199.93,0,0,0
80,929.65,517.43,24.94,238.76,0,0,0
81,929.28,517.63,28.47,250.43,0,0,0
82,822.71,522.84,21.4,208.76,0,0,0
83,894.46,521.56,25.2,220.67,0,0,0
84,953.92,525.36,24.57,260.19,0,0,0
85,851.77,528.7,22.35,222.12,0,0,0
86,855.4,526.41,24.4,208.14,0,0,0
87,960.18,525.99,27.62,263.46,0,0,0
88,894.97,526.22,25.14,244.82,0,0,0
89,828.39,526.94,23.06,206.3,0,0,0
90,941.07,529.13,24.31,247.9,0,0,0
91,929.8,524.08,26.36,256.42,0,0,0
92,826.39,525.48,21.73,211.42,0,0,0
93,890.89,523.11,27.01,226.57,0,0,0
94,949.86,519.86,26.23,254.77,0,0,0
95,840.71,518.02,23.77,216.68,0,0,0
96,839.39,513.98,22.72,199.18,0,0,0
97,944.2,520.51,24.99,250.36,0,0,0
98,882.42,522.24,23.01,240.1,0,0,0
99,821.51,517.14,21.89,201.05,0,0,0
100,929.43,523.64,26.96,250.01,0,0,0
101,925.25,520.56,23.97,256.62,0,0,0
102,817.65,523.75,23.68,213.18,0,0,0
103,887.19,521.85,22.47,224.35,0,0,0
104,945.82,523.05,27.67,258.72,0,0,0
105,840.65,523.63,22.89,226.41,0,0,0
106,842.78,524.59,20.93,210.86,0,0,0
107,944.18,524.81,24.62,253.99,0,0,0
108,880.28,522.12,24.6,246.75,0,0,0
109,812.76,521.83,23.25,199.15,0,0,0
110,918.6,518.11,26.1,239.11,0,0,0
111,912.73,520.4,23.59,251.67,0,0,0
112,807.19,516.73,19.7,206.42,0,0,0
113,872.28,517.8,22.82,220.27,0,0,0
114,930.52,518.03,26.75,248.71,0,0,0
115,825.37,516.9,24.05,219.33,0,0,0
116,827.07,507.58,24.78,192.81,0,0,0
117,933.24,506.74,25.02,235.49,0,0,0
118,873.32,514.43,21.56,230.88,0,0,0
119,800.68,505.73,20.88,185.69,0,0,0
120,914.33,504.96,22.34,220.03,0,0,0
121,912.81,507.31,25.96,243.53,0,0,0
122,807.46,509.38,19.15,191.1,0,0,0
123,882.22,512.82,23.26,210.83,0,0,0
124,945.08,512.46,23.41,250.39,0,0,0
125,841.39,507.04,20.25,204.95,0,0,0
126,845.85,508.44,20.49,193.21,0,0,0
127,953.02,518.67,25.81,247.33,0,0,0
128,885.68,515.05,25.5,228.08,0,0,0
129,823.85,514.47,21.29,189.13,0,0,0
130,930.46,511.96,22.91,230.29,0,0,0
131,924.96,516.07,22.95,245.54,0,0,0
132,830.26,526.12,22.16,203.09,0,0,0
133,903.94,524.89,23.77,219.07,0,0,0
134,953.11,517.62,26.17,248.77,0,0,0
135,850.44,516.01,21.17,212.79,0,0,0
136,854.45,519.27,24.52,203.97,0,0,0
137,952.24,517.82,24.63,240.55,0,0,0
138,884.68,514.76,18.94,228.39,0,0,0
139,827.91,521.18,19.36,194.23,0,0,0
140,933.09,519.21,26.98,234.44,0,0,0
141,926.9,517.51,25.15,236.51,0,0,0
142,819.33,518.2,22.28,190.91,0,0,0
143,893.05,517.3,26.56,215.22,0,0,0
144,952.51,516.07,26.82,242.07,0,0,0
145,855.39,526.45,20.15,221.43,0,0,0
146,857.27,521.34,21.66,195.98,0,0,0
147,953.87,522.59,26.41,236.49,0,0,0
148,889.46,520.46,22.44,223.62,0,0,0
149,823.7,520.12,20.27,187.39,0,0,0
150,935.46,513.23,24.73,226.28,0,0,0
151,929.35,514.9,25.3,239.19,0,0,0
152,820.86,517.89,23.04,190.92,0,0,0
153,893.06,517.86,24.66,209.97,0,0,0
154,955.93,517.58,22.72,244.3,0,0,0
155,852.87,522.65,21.25,213.78,0,0,0
156,852.76,516.58,24.55,196.74,0,0,0
157,955.97,523.4,25.9,242.73,0,0,0
158,883.07,521.46,21.35,235.34,0,0,0
159,821.19,522.16,20.87,191.61,0,0,0
160,930.24,520.55,28.58,234.53,0,0,0
161,923.19,522.91,26.23,247.38,0,0,0
162,820.81,525.8,20.11,202.89,0,0,0
163,892.8,523.67,25.12,217.05,0,0,0
164,947.98,523.59,22.99,249.45,0,0,0
165,842.41,521.22,23.75,216.44,0,0,0
166,848.29,524.02,21.84,205.59,0,0,0
167,942.35,519.92,24.06,243.24,0,0,0
168,889.34,525.07,22.7,241.53,0,0,0
169,826.93,524.1,19.87,198.07,0,0,0
170,938.82,523.41,23.87,237.53,0,0,0
171,933.48,524.26,23.14,256.33,0,0,0
172,821.35,520.68,20.59,203.57,0,0,0
173,893.53,521.59,24.91,218.82,0,0,0
174,948.16,524.26,26.57,259.79,0,0,0
175,843.1,516.79,20.63,215.87,0,0,0
176,844.38,519.25,25.41,195.65,0,0,0
177,945.92,516.57,25.82,247.4,0,0,0
178,878.38,516.23,23.32,232.53,0,0,0
179,816.12,517.13,20.05,200.47,0,0,0
180,928.88,516.25,25.8,240.05,0,0,0
181,914.59,511.26,22.35,241.96,0,0,0
182,809.8,514.86,18.85,201.95,0,0,0
183,890.75,511.18,23.52,217.3,0,0,0
184,945.45,511.29,24.09,248.07,0,0,0
185,831.45,507.62,20.19,215.45,0,0,0
186,840.83,509.5,22.95,199.07,0,0,0
187,940.54,513.2,27.12,242.14,0,0,0
188,870.9,513.33,21.52,233.4,0,0,0
189,810.55,512.3,20.67,195.46,0,0,0
190,922.66,514.26,26.06,233.31,0,0,0
191,913.21,522.44,23.06,249.61,0,0,0
192,812.03,518.24,23.55,199.91,0,0,0
193,885.71,513.86,22.75,212.41,0,0,0
194,932.23,513.54,22.56,246.21,0,0,0
195,834.52,517.15,22.69,219.19,0,0,0
196,843.07,517.15,23.84,201.23,0,0,0
197,941.03,513.17,27.44,245.27,0,0,0
198,874.3,519.57,23.76,226.2,0,0,0
199,815.15,514.43,21.78,195.78,0,0,0
200,922.97,515.36,25.33,230.24,0,0,0
0,913.04,516.04,23.43,240.9,0,0,0
1,817.82,521.84,21.98,205.94,0,0,0
2,893.55,523.44,26.56,222.72,0,0,0
3,947.94,522.68,25.68,250.66,0,0,0
4,844.08,520.87,22.78,218.86,0,0,0
5,853.1,520.74,20.53,208.02,0,0,0
6,951.8,524.69,25.03,255.38,0,0,0
7,879.28,522.65,21.11,242.24,0,0,0
8,819.88,522.72,26.17,205.68,0,0,0
9,929.36,522.03,26.19,248.22,0,0,0
10,917.91,523.59,23.98,258.56,0,0,0
11,813.42,518.33,20.94,204.85,0,0,0
12,889.75,520.6,24.78,224.5,0,0,0
13,941.79,525.76,25.71,261.84,0,0,0
14,842.62,524.79,23.6,226.66,0,0,0
15,851.45,526.71,24.95,212.94,0,0,0
16,953.01,527.87,24.47,259.68,0,0,0
17,884.35,530.7,25.11,249.58,0,0,0
18,826.48,530.55,22.59,211.28,0,0,0
19,937.36,531.51,26.66,250.75,0,0,0
20,925.48,530.11,24.42,263.06,0,0,0
21,823.01,532.24,23.62,216.84,0,0,0
22,895.93,529.29,25.46,229.84,0,0,0
